TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 02/2009,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",74.9%,-104.9,"8,409.7",0.70%,0.61%,-0.36,-0.79,0.12%,5.26%,-0.04%,," *** הראל אג""ח עד 25% מניות ",101,84.6%,-113.5,"230,781.6",0.59%,0.45%,,,0.49%,5.61%,0.84%
"שיעור דמי ניהול
ממוצע לשנת
2017",76.4%,-14.5,"1,344.7",- - -,- - -,-0.25,0.08,1.08%,6.52%,0.86%,לא פעיל, *** אקסלנס גמל פלטינום,102,84.6%,-113.5,"230,781.6",0.59%,0.45%,,,0.49%,5.61%,0.84%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.0%,-26.4,"3,256.9",0.70%,0.61%,-0.13,1.08,0.72%,4.90%,0.44%,, *** מיטב דש גמל לבני  50-60,103,84.6%,-113.5,"230,781.6",0.59%,0.45%,,,0.49%,5.61%,0.84%
"שיעור דמי ניהול
ממוצע לשנת
2017",78.0%,-48.2,"1,374.0",- - -,- - -,-0.55,-0.91,-1.32%,10.10%,1.33%,לא פעיל,פסגות צור,104,84.6%,-113.5,"230,781.6",0.59%,0.45%,,,0.49%,5.61%,0.84%
"שיעור דמי ניהול
ממוצע לשנת
2017",77.5%,-0.4,72.0,- - -,- - -,-0.30,-0.18,0.12%,5.51%,0.99%,לא פעיל,ישיר המלאכה,105,84.6%,-113.5,"230,781.6",0.59%,0.45%,,,0.49%,5.61%,0.84%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.1%,-123.7,"15,288.6",- - -,- - -,-0.22,0.45,0.96%,5.99%,1.24%,לא פעיל, *** פסגות גדיש כללי,106,84.6%,-113.5,"230,781.6",0.59%,0.45%,,,0.49%,5.61%,0.84%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.9%,-1.9,379.2,0.58%,0.00%,-0.19,0.54,1.44%,6.32%,1.42%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,84.6%,-113.5,"230,781.6",0.59%,0.45%,,,0.49%,5.61%,0.84%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.8%,-0.3,12.1,- - -,- - -,-0.68,-1.03,-2.52%,-1.20%,-2.61%,לא פעיל, *** להיט מניות,109,84.6%,-113.5,"230,781.6",0.59%,0.45%,,,0.49%,5.61%,0.84%
"שיעור דמי ניהול
ממוצע לשנת
2017",76.2%,-8.9,644.6,- - -,- - -,-0.46,-0.99,-0.96%,4.94%,0.45%,לא פעיל, *** מיטב מירון,111,84.6%,-113.5,"230,781.6",0.59%,0.45%,,,0.49%,5.61%,0.84%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,0.0,- - -,- - -,- - -,- - -,- - -,- - -,- - -,לא פעיל,הראל רימון,112,84.6%,-113.5,"230,781.6",0.59%,0.45%,,,0.49%,5.61%,0.84%
