TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 02/2011,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",74.3%,-58.3,"9,966.7",0.70%,0.61%,0.59,0.08,0.36%,1.44%,0.38%,," *** הראל אג""ח עד 25% מניות ",101,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",76.0%,-23.2,"1,525.0",- - -,- - -,0.61,0.12,0.84%,0.63%,0.29%,לא פעיל, *** אקסלנס גמל פלטינום,102,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.5%,-5.5,"3,668.7",0.70%,0.61%,0.86,1.17,1.56%,0.28%,-0.08%,, *** מיטב דש גמל לבני  50-60,103,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.3%,-104.1,"20,226.2",- - -,- - -,0.67,0.54,0.48%,0.33%,0.16%,לא פעיל, *** פסגות גדיש כללי,106,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.8%,5.0,513.1,0.58%,0.00%,0.78,0.01,1.80%,0.17%,0.07%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.7%,0.9,27.5,- - -,- - -,0.10,-0.20,-4.32%,0.54%,0.41%,לא פעיל, *** להיט מניות,109,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.0%,-8.1,880.4,- - -,- - -,0.59,0.24,0.12%,1.55%,0.21%,לא פעיל, *** מיטב מירון,111,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.0%,-12.8,"2,147.9",- - -,- - -,0.22,-0.69,-2.64%,0.34%,0.06%,לא פעיל, *** פסגות קרן אור,113,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.4%,0.6,19.7,- - -,- - -,0.77,0.15,0.84%,0.23%,-0.05%,לא פעיל,אי.בי.אי שחר,114,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.2%,-3.9,812.5,- - -,- - -,0.86,0.06,0.84%,0.16%,0.20%,לא פעיל, *** ** הגומל מסלול כללי,115,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.9%,6.9,832.1,0.58%,0.04%,1.20,0.13,0.84%,1.39%,0.47%,," *** כלל תמר אג""ח ",117,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",84.4%,1.3,163.9,0.51%,- - -,0.57,0.38,0.60%,0.70%,0.15%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.0%,-5.9,752.7,0.73%,0.32%,0.59,0.07,-0.60%,1.06%,-0.02%,,מנורה מבטחים יותר מסלול ד,119,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",96.4%,-1.4,65.5,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.4%,-0.4,202.3,- - -,- - -,0.61,0.07,0.48%,0.74%,0.32%,לא פעיל, *** אקסלנס גמולה,123,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.2%,2.0,"1,323.5",0.54%,0.08%,1.25,0.24,0.84%,0.96%,0.53%,, *** כלל תמר מדד,124,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",86.0%,0.6,765.5,- - -,- - -,0.69,0.78,0.96%,0.71%,0.07%,לא פעיל, *** אשכולות כללי,125,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",92.7%,-0.2,19.9,- - -,- - -,-0.27,-0.65,-0.60%,2.55%,-1.97%,לא פעיל," *** כלל תמר מט""ח",126,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.3%,-2.1,150.9,0.61%,0.05%,0.36,0.22,1.32%,-2.03%,-0.73%,, *** כלל תמר מניות,127,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",100.0%,-8.7,426.4,0.54%,0.03%,1.07,-0.56,0.24%,0.21%,0.08%,, *** כלל תמר שקלי טווח קצר,128,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",78.6%,-0.1,20.0,- - -,- - -,0.43,-0.99,-1.44%,0.25%,0.33%,לא פעיל, *** ** יבול,129,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.1%,-0.1,136.7,0.68%,- - -,0.67,-0.30,-0.12%,0.25%,0.17%,,** שובל,130,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",77.8%,-12.3,568.6,0.96%,- - -,0.45,-0.57,-0.96%,0.08%,0.25%,, *** הלמן-אלדובי השתלמות כללי,132,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.7%,0.7,92.9,- - -,- - -,0.67,0.48,0.96%,0.39%,0.10%,לא פעיל, *** דש קפיטל גמל זהב,135,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.2%,1.8,150.3,- - -,- - -,0.62,0.32,0.60%,0.23%,0.00%,לא פעיל, *** דש קפיטל גמל,136,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.1%,1.1,710.3,- - -,- - -,0.64,0.41,0.60%,0.29%,0.10%,לא פעיל, *** דש קפיטל השתלמות,137,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",84.7%,-0.2,217.1,- - -,- - -,0.75,0.79,1.32%,0.29%,0.09%,לא פעיל, *** דש קפיטל-פיצויים,138,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.0%,0.0,45.1,- - -,- - -,0.74,1.07,1.44%,0.52%,0.05%,לא פעיל, *** ** כלל דגש,139,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",84.5%,-1.8,161.4,- - -,- - -,0.36,-0.16,1.44%,0.50%,-0.21%,לא פעיל, *** תגמולים,143,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.3%,-3.3,214.6,- - -,- - -,0.35,-0.16,1.32%,0.48%,-0.19%,לא פעיל, *** הלמן-אלדובי השתלמות,145,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.6%,0.1,556.7,- - -,- - -,0.89,-0.36,0.48%,0.89%,0.25%,לא פעיל, *** חריש,146,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.9%,-0.4,83.0,- - -,- - -,0.60,-0.46,-0.48%,0.91%,0.19%,לא פעיל, *** ערד,147,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.3%,-1.5,84.8,0.54%,- - -,0.20,-0.92,-2.28%,0.25%,0.04%,,פסגות שיא פיצויים כללי,150,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.4%,9.3,758.4,0.65%,- - -,1.16,0.10,0.48%,1.18%,0.48%,,כלל ברזל,152,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",77.9%,4.6,790.0,- - -,- - -,0.52,-0.05,0.00%,1.16%,0.28%,לא פעיל, *** הראל גמל לגילאי 50 עד 60,153,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.0%,15.0,"1,244.4",0.82%,- - -,0.55,-0.15,0.12%,1.08%,0.31%,,הראל השתלמות כללי,154,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.9%,-2.1,168.4,0.71%,- - -,0.53,0.03,-0.24%,1.11%,0.37%,,"הראל קמ""פ מסלול כללי ",155,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.6%,1.9,"1,044.9",- - -,- - -,0.66,-0.15,0.72%,0.28%,0.14%,לא פעיל, *** ** קופת גמל הנדסאים מסלול כללי,157,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.1%,3.8,"1,122.9",- - -,- - -,0.70,0.09,0.24%,0.40%,-0.01%,לא פעיל, *** ** קופת גמל מחר מסלול כללי,158,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.2%,0.8,247.1,- - -,- - -,0.79,-0.06,1.32%,0.42%,0.12%,לא פעיל," *** ** קופת גמל עו""ס מסלול כללי",159,84.8%,-119.1,"306,805.5",0.59%,0.45%,,,0.45%,0.52%,0.14%
