TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 07/2014,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",76.4%,-40.4,"12,362.5",0.70%,0.61%,1.22,0.61,1.68%,3.64%,-0.07%,," *** הראל אג""ח עד 25% מניות ",101,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",84.2%,-32.5,"5,674.0",0.70%,0.61%,1.18,0.36,1.44%,3.58%,-0.37%,, *** מיטב דש גמל לבני  50-60,103,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",82.8%,-118.6,"28,042.2",- - -,- - -,1.25,0.78,1.32%,2.91%,0.09%,לא פעיל, *** פסגות גדיש כללי,106,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",85.5%,-2.5,487.6,0.58%,0.00%,1.20,-0.63,0.96%,2.37%,-0.18%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.3%,-4.3,730.1,- - -,- - -,1.02,-0.85,0.00%,2.82%,-0.24%,לא פעיל, *** ** הגומל מסלול כללי,115,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.3%,-12.0,"1,412.6",0.58%,0.04%,1.52,-0.30,-0.48%,3.20%,0.07%,," *** כלל תמר אג""ח ",117,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.2%,-1.7,137.5,0.51%,- - -,0.97,-0.13,0.84%,2.52%,-0.53%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",80.5%,-2.6,693.9,0.73%,0.32%,1.21,0.47,0.36%,3.64%,-0.27%,,מנורה מבטחים יותר מסלול ד,119,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",97.0%,0.0,74.2,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.6%,-22.9,"2,214.7",0.54%,0.08%,1.38,-0.29,-0.24%,2.98%,0.12%,, *** כלל תמר מדד,124,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",97.8%,-0.3,13.5,- - -,- - -,-0.29,-0.91,-4.08%,0.53%,-1.03%,לא פעיל," *** כלל תמר מט""ח",126,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",87.4%,-3.0,198.7,0.61%,0.05%,0.53,0.18,2.16%,1.97%,-1.15%,, *** כלל תמר מניות,127,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",100.0%,-0.2,385.6,0.54%,0.03%,0.08,-1.21,-0.24%,0.58%,0.16%,, *** כלל תמר שקלי טווח קצר,128,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",89.6%,-1.2,121.9,0.68%,- - -,1.06,-0.88,-0.24%,2.87%,-0.47%,,** שובל,130,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",81.6%,13.6,941.3,0.96%,- - -,1.39,0.55,2.52%,3.69%,-0.49%,, *** הלמן-אלדובי השתלמות כללי,132,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",83.0%,-0.7,71.2,- - -,- - -,1.33,0.47,1.44%,5.34%,0.87%,לא פעיל, *** דש קפיטל-פיצויים,138,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",90.7%,8.0,96.8,0.54%,- - -,1.10,-0.57,0.48%,2.50%,-0.40%,,פסגות שיא פיצויים כללי,150,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",88.1%,-6.1,783.4,0.65%,- - -,1.58,-0.25,-0.36%,3.23%,0.00%,,כלל ברזל,152,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",78.3%,13.0,"1,005.9",- - -,- - -,1.21,0.92,1.80%,3.59%,-0.33%,לא פעיל, *** הראל גמל לגילאי 50 עד 60,153,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",79.0%,51.1,"2,329.3",0.82%,- - -,1.21,0.75,1.68%,3.41%,-0.27%,,הראל השתלמות כללי,154,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
"שיעור דמי ניהול
ממוצע לשנת
2017",85.4%,0.4,222.3,0.71%,- - -,1.28,0.96,1.56%,3.05%,-0.31%,,"הראל קמ""פ מסלול כללי ",155,86.6%,539.1,"358,665.7",0.59%,0.45%,,,1.06%,3.26%,-0.27%
