TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 08/1999,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-48.0,"9,940.1",0.70%,0.61%,- - -,- - -,- - -,8.53%,-0.07%,," *** הראל אג""ח עד 25% מניות ",101,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-6.6,"1,023.8",- - -,- - -,- - -,- - -,- - -,8.07%,-0.32%,לא פעיל, *** אקסלנס גמל פלטינום,102,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-7.9,"3,472.1",0.70%,0.61%,- - -,- - -,- - -,8.00%,0.24%,, *** מיטב דש גמל לבני  50-60,103,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-14.5,"2,537.4",- - -,- - -,- - -,- - -,- - -,8.47%,-0.32%,לא פעיל,פסגות צור,104,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-2.1,167.9,- - -,- - -,- - -,- - -,- - -,7.14%,-0.77%,לא פעיל,ישיר המלאכה,105,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-28.4,"14,379.8",- - -,- - -,- - -,- - -,- - -,8.92%,-0.22%,לא פעיל, *** פסגות גדיש כללי,106,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-6.2,573.6,0.58%,0.00%,- - -,- - -,- - -,8.83%,-0.57%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.1,212.8,- - -,- - -,- - -,- - -,- - -,- - -,- - -,לא פעיל,** נדבכים,108,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.1,1.7,- - -,- - -,- - -,- - -,- - -,17.42%,-2.61%,לא פעיל, *** להיט מניות,109,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.1,47.5,- - -,- - -,- - -,- - -,- - -,7.26%,0.45%,לא פעיל,** ויתקין,110,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-4.6,"1,019.5",- - -,- - -,- - -,- - -,- - -,7.11%,-0.68%,לא פעיל, *** מיטב מירון,111,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-1.3,137.6,- - -,- - -,- - -,- - -,- - -,7.96%,-0.42%,לא פעיל,הראל רימון,112,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.8,"2,239.3",- - -,- - -,- - -,- - -,- - -,8.55%,-0.13%,לא פעיל, *** פסגות קרן אור,113,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.3,27.3,- - -,- - -,- - -,- - -,- - -,- - -,- - -,לא פעיל,אי.בי.אי שחר,114,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-9.4,500.6,- - -,- - -,- - -,- - -,- - -,6.82%,0.10%,לא פעיל, *** ** הגומל מסלול כללי,115,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,3.2,- - -,- - -,- - -,- - -,- - -,8.12%,-0.15%,לא פעיל,** סוכני הבטוח,116,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.6,6.1,0.58%,0.04%,- - -,- - -,- - -,4.64%,1.16%,," *** כלל תמר אג""ח ",117,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.0,3.8,0.51%,- - -,- - -,- - -,- - -,11.70%,-0.44%,,אנליסט קופה מרכזית לפיצויים מסלול כללי,118,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-5.8,460.4,0.73%,0.32%,- - -,- - -,- - -,8.45%,0.12%,,מנורה מבטחים יותר מסלול ד,119,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.2,43.6,0.45%,- - -,- - -,- - -,- - -,- - -,- - -,,מיטב דש ביטחון מבטיח תשואה 4.5%,120,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.3,32.7,- - -,- - -,- - -,- - -,- - -,7.68%,-0.60%,לא פעיל,ישיר תוחלת,121,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.4,119.9,- - -,- - -,- - -,- - -,- - -,7.40%,0.55%,לא פעיל,מנורה גמל פלס,122,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.6,72.8,- - -,- - -,- - -,- - -,- - -,12.93%,-1.35%,לא פעיל, *** אקסלנס גמולה,123,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.2,85.2,0.54%,0.08%,- - -,- - -,- - -,5.01%,1.90%,, *** כלל תמר מדד,124,,-162.3,"144,598.1",0.59%,0.45%,,,,7.91%,-0.06%
