TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות גמל לחודש 09/1999,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox103,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox105,Textbox92,Textbox93,Textbox94,Textbox104,Textbox106,Textbox107,Textbox108,Textbox98,Textbox99
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-43.7,"9,975.9",0.70%,0.61%,- - -,- - -,- - -,9.39%,0.80%,," *** הראל אג""ח עד 25% מניות ",101,,-156.4,"146,153.9",0.59%,0.45%,,,,8.97%,0.98%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-4.8,"1,033.1",- - -,- - -,- - -,- - -,- - -,9.65%,1.47%,לא פעיל, *** אקסלנס גמל פלטינום,102,,-156.4,"146,153.9",0.59%,0.45%,,,,8.97%,0.98%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-15.5,"3,482.1",0.70%,0.61%,- - -,- - -,- - -,8.79%,0.73%,, *** מיטב דש גמל לבני  50-60,103,,-156.4,"146,153.9",0.59%,0.45%,,,,8.97%,0.98%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-11.5,"2,546.6",- - -,- - -,- - -,- - -,- - -,9.43%,0.88%,לא פעיל,פסגות צור,104,,-156.4,"146,153.9",0.59%,0.45%,,,,8.97%,0.98%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,4.0,174.2,- - -,- - -,- - -,- - -,- - -,8.64%,1.40%,לא פעיל,ישיר המלאכה,105,,-156.4,"146,153.9",0.59%,0.45%,,,,8.97%,0.98%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-55.2,"14,428.8",- - -,- - -,- - -,- - -,- - -,9.79%,0.80%,לא פעיל, *** פסגות גדיש כללי,106,,-156.4,"146,153.9",0.59%,0.45%,,,,8.97%,0.98%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-2.5,576.7,0.58%,0.00%,- - -,- - -,- - -,9.97%,1.05%,," *** הלמן-אלדובי בר-יציב אג""ח עד 25% במניות",107,,-156.4,"146,153.9",0.59%,0.45%,,,,8.97%,0.98%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-2.6,212.2,- - -,- - -,- - -,- - -,- - -,- - -,- - -,לא פעיל,** נדבכים,108,,-156.4,"146,153.9",0.59%,0.45%,,,,8.97%,0.98%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,0.3,2.0,- - -,- - -,- - -,- - -,- - -,18.41%,0.84%,לא פעיל, *** להיט מניות,109,,-156.4,"146,153.9",0.59%,0.45%,,,,8.97%,0.98%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.4,47.5,- - -,- - -,- - -,- - -,- - -,8.25%,0.92%,לא פעיל,** ויתקין,110,,-156.4,"146,153.9",0.59%,0.45%,,,,8.97%,0.98%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.9,"1,030.8",- - -,- - -,- - -,- - -,- - -,8.50%,1.30%,לא פעיל, *** מיטב מירון,111,,-156.4,"146,153.9",0.59%,0.45%,,,,8.97%,0.98%
"שיעור דמי ניהול
ממוצע לשנת
2017",- - -,-0.4,138.1,- - -,- - -,- - -,- - -,- - -,8.77%,0.75%,לא פעיל,הראל רימון,112,,-156.4,"146,153.9",0.59%,0.45%,,,,8.97%,0.98%
